Rank,TitleLength,AgeInHours,Points,NumberOfComments
1,60,1,76,42
2,42,5,58,21
3,67,14,281,66
4,40,6,57,37
5,57,10,114,29
6,68,8,54,12
7,69,17,157,82
8,72,16,162,83
9,52,18,211,201
10,62,4,57,42
11,59,7,31,8
12,36,3,74,79
13,77,4,8,0
14,31,18,144,60
15,85,19,76,0
16,71,24,407,37
17,41,24,465,233
18,86,24,203,79
19,67,24,271,101
20,73,24,190,23
21,45,15,62,27
22,87,13,339,137
23,94,19,501,290
24,62,24,368,223
25,74,24,356,66
26,66,24,243,119
27,77,11,0,0
28,62,13,236,216
29,28,16,52,4
30,57,11,154,156
31,85,24,183,10
32,82,12,174,66
33,90,13,141,83
34,60,4,19,4
35,47,12,37,12
36,73,24,205,76
37,80,14,37,1
38,23,19,37,11
39,80,24,64,12
40,65,24,70,66
41,50,18,61,10
42,41,24,105,119
43,21,24,142,63
44,65,24,64,98
45,61,20,240,236
46,46,48,323,112
47,58,24,75,96
48,63,24,276,131
49,64,24,116,21
50,66,16,56,58
51,45,24,148,54
52,52,24,102,17
53,97,24,167,49
54,55,24,244,277
55,73,8,29,19
56,47,13,29,13
57,88,3,6,0
58,52,22,60,100
59,75,24,172,18
60,72,10,65,22
61,55,24,104,57
62,59,24,60,36
63,42,16,12,4
64,63,24,91,33
65,30,24,317,286
66,93,24,77,14
67,54,24,128,29
68,51,48,528,114
69,69,15,47,16
70,77,17,16,7
71,49,6,21,1
72,63,24,277,90
73,49,24,73,29
74,78,2,31,52
75,90,24,238,38
76,46,4,3,0
77,66,24,18,12
78,46,6,6,2
79,46,24,290,121
80,89,4,51,46
81,83,24,183,241
82,71,24,50,14
83,90,48,155,63
84,36,24,347,507
85,76,48,96,10
86,49,24,249,71
87,88,24,53,18
88,94,7,13,0
89,67,48,102,24
90,65,14,34,12
91,86,48,531,136
92,76,24,22,0
93,54,24,30,21
94,49,5,15,0
95,90,8,50,6
96,71,24,51,2
97,84,96,654,566
98,64,72,572,78
99,39,7,3,4
100,45,5,15,19
101,54,48,159,24
102,60,14,31,7
103,42,72,210,155
104,34,48,70,14
105,61,48,140,139
106,61,72,1128,256
107,88,11,31,1
108,58,6,5,2
109,105,24,64,15
110,58,24,31,6
111,75,24,299,274
112,61,48,193,247
113,79,72,826,334
114,57,8,5,0
115,51,24,26,4
116,22,48,471,133
117,45,72,451,184
118,89,24,9,0
119,65,13,19,3
120,78,24,52,27
121,73,11,27,2
122,52,48,52,19
123,76,48,174,79
124,26,12,74,33
125,63,24,16,3
126,74,48,101,11
127,59,16,44,3
128,48,24,72,10
129,65,48,285,80
130,69,24,20,5
131,78,48,123,76
132,75,48,62,11
133,97,48,46,29
134,38,48,1402,426
135,88,24,30,6
136,91,48,1043,730
137,73,24,15,3
138,56,72,127,27
139,72,8,7,0
140,94,24,160,128
141,102,48,85,13
142,99,24,91,221
143,54,48,52,29
144,83,22,39,41
145,88,48,265,74
146,77,24,7,2
147,48,22,4,2
148,71,13,8,1
149,48,13,9,1
150,81,48,59,10
